ethics,Motivation,Resilience,SelfEfficacy,TeamStrain,KnowledgeArticulation,CoopClass
2,2.33333333333333,2.33333333333333,4,3.875,4,3.875
2.5,2.66666666666667,4.66666666666667,3.83333333333333,4,3.8,4
2,2,2.66666666666667,3.5,3.75,3.8,3.25
3,3,3,3,3.75,4,3.75
4,3,3.33333333333333,3.33333333333333,3.75,4,3.375
4,4,3.33333333333333,3.16666666666667,3.625,3.6,3.875
4,3.66666666666667,4,4,3.125,4.2,2.5
2,2.66666666666667,3.66666666666667,3.5,4,4,3.375
1,4,2,1.83333333333333,1.75,3,5
2,3.33333333333333,4,3.16666666666667,3.875,3.6,3.625
2,1,3.33333333333333,3.83333333333333,2.75,4.2,3.875
4,3.33333333333333,4,4,4,4,3.625
4.5,4.33333333333333,4,4.33333333333333,4.5,4,4.375
2,2,4,4,4,4,4
3.5,3.33333333333333,3.66666666666667,3.66666666666667,3,3.4,3.25
3.5,3,3.33333333333333,3,3.5,3.4,3.875
4,4.33333333333333,3.33333333333333,3.66666666666667,3.875,3.8,4.125
3.5,4,3,3.33333333333333,3.875,4,3.875
3.5,3.33333333333333,3.33333333333333,3.83333333333333,3.5,4,3.625
3,4,3.66666666666667,3.5,3.5,3.8,3.25
3,3.66666666666667,4,3.5,3.375,3.6,3.75
3,2.66666666666667,4.66666666666667,3.66666666666667,3.75,3.8,3.75
2.5,1,2.66666666666667,4.83333333333333,4,5,4.75
3.5,2.33333333333333,2,3.16666666666667,4,3.6,3.75
4,2.66666666666667,4,3.16666666666667,3,5,3.625
3.5,3.66666666666667,4.33333333333333,3.66666666666667,4,4,3.75
2.5,3,3.66666666666667,4,4,4,4
3.5,2.33333333333333,3.66666666666667,3.83333333333333,4,4,3.75
2.5,1.33333333333333,2.66666666666667,4,4.125,4.8,3.875
4,3,4,3.16666666666667,3.5,4,4
2.5,3,3.66666666666667,4,4,4,4
4,3.33333333333333,4.33333333333333,3.33333333333333,4,4,4.25
2,2,3.66666666666667,3,3.875,3.2,3.875
3,1.66666666666667,4,4,4.125,4,4
4,2,2.66666666666667,3.83333333333333,3.875,4.4,3.625
4,2,2.66666666666667,4,3.875,4.4,3.875
4,2.33333333333333,2.66666666666667,4,3.875,4.4,3.875
4,2,2.66666666666667,4,3.875,4.4,4
5,2.33333333333333,2.66666666666667,4,4,4.2,3.875
4,2.66666666666667,2.33333333333333,3.83333333333333,3.875,4,4
4,2.33333333333333,2.66666666666667,3.33333333333333,3.875,4,3.75
3,3.33333333333333,4.33333333333333,4,4,4,4
4,2.33333333333333,2.66666666666667,4,3.875,4.2,4
3,3,3,3.33333333333333,3,3.6,3.625
4,2,3,4.5,3.875,4.2,3.75
3.5,3.33333333333333,4,3.16666666666667,3.625,3.6,3.625
2,2.66666666666667,4,3.16666666666667,3.75,4,3.625
3.5,2,3.33333333333333,4,3.875,4,3.875
5,2,3.33333333333333,4,4,1,4.25
3,2.33333333333333,3.66666666666667,3.33333333333333,3.625,4,3.375
2,2.66666666666667,3,4.33333333333333,3,3.4,4.25
3,3.33333333333333,3,3.33333333333333,4,4,3.75
4.5,2.33333333333333,3,3.66666666666667,4,4,4.125
3.5,3,4,3.66666666666667,3.75,3.6,4
3,3,3,3,4,3.8,3.75
2,2.33333333333333,4,4,4,4,3.875
3,3,4.33333333333333,3.33333333333333,4,4,3.875
2,2.33333333333333,4.33333333333333,3.5,3.875,4,3.5
4,3.33333333333333,4.33333333333333,4.33333333333333,4,4,4
3.5,1.66666666666667,4.33333333333333,5,3.75,5,3.875
3,3,4,4,4,4,3.25
3.5,3.33333333333333,4,3.83333333333333,4,4,4
3,4,3,3,4,3.8,3.75
3.5,2.33333333333333,4,3.83333333333333,4,4,4
2,3,3,3,3,3,4
3.5,2,5,3.83333333333333,3.75,4.4,4.125
4,2.66666666666667,2.66666666666667,3.5,3.875,4.4,3.625
3.5,2.33333333333333,3.66666666666667,3,3.75,4,3.625
4,2,2.66666666666667,4,3.875,4.4,3.75
3.5,4,3.66666666666667,3.83333333333333,3.75,3.6,3.125
2,2.66666666666667,3,3.5,3.875,4,3.875
4,2.66666666666667,3,3.83333333333333,4.125,4.4,3.75
3.5,3,3.66666666666667,3.5,3.625,3.4,3.625
3,3.33333333333333,3,4,4,4,4
3,2.66666666666667,3.66666666666667,4.16666666666667,3.25,5,4
3,2.66666666666667,3.66666666666667,4.16666666666667,3.25,5,4
2,2.66666666666667,4.66666666666667,3.83333333333333,3.75,4,4
2.5,3.33333333333333,4,3,4,4.2,3
1,2.66666666666667,3.66666666666667,4,4,4,3.375
4,2.66666666666667,3.66666666666667,2.66666666666667,4,4,3.25
4,2.66666666666667,3.66666666666667,3.83333333333333,4,4,3.375
2.5,1.66666666666667,4.33333333333333,3.66666666666667,4,3.8,3.75
3,3.33333333333333,3.66666666666667,3,3,3.8,4
3,2.66666666666667,2.66666666666667,3.66666666666667,3.875,4,3.75
3.5,2.66666666666667,3.66666666666667,3.5,3.375,3.8,3.375
2.5,3,4,3.16666666666667,4,4,4.125
3,3,2.66666666666667,3.66666666666667,3.875,4,3.625
3,1.66666666666667,3.33333333333333,3.33333333333333,4,3.8,3.875
4,3,3.66666666666667,3.33333333333333,4,3.8,3.75
4,2.66666666666667,4,3.66666666666667,3.75,4,3.875
1.5,1.33333333333333,3,4.83333333333333,3.5,4.8,4.375
4,2,3.33333333333333,3.83333333333333,3.75,4.2,4
2,3.33333333333333,4,4,4,4,4
4,1,3.66666666666667,3.66666666666667,3.875,4,3.75
4,2.33333333333333,3,3.33333333333333,4,4,3.625
3,3,2.33333333333333,2.66666666666667,3,4,3.25
2,2,5,5,5,5,4.375
3.5,1.66666666666667,2.66666666666667,4.5,4.25,4,4.25
5,3,4.66666666666667,3,3.75,3.6,3.625
3,3.33333333333333,4.33333333333333,3.5,4,3.2,3.5
2,2.66666666666667,4,4,4,3.6,3.875
3,3,3.33333333333333,3,3.25,4,3.25
2.5,2.66666666666667,2,3.66666666666667,4,3.4,3.5
2,4,4,4,4,4,4
1.5,3,4,3.5,3.5,4,4.5
2,3,4.66666666666667,3.66666666666667,4,4.6,3.375
3.5,2.66666666666667,3.66666666666667,3.66666666666667,3.875,4,3.5
2.5,3,3.66666666666667,4.5,4,4.8,4.625
3.5,2.33333333333333,3,3,4,4,4
3.5,1.66666666666667,4.66666666666667,4.5,4.75,4.6,1.5
4,2.33333333333333,4.33333333333333,3.83333333333333,3.625,4,3.75
4,3.33333333333333,2.66666666666667,3.33333333333333,3.875,4,3.5
3,2.66666666666667,2.66666666666667,3.83333333333333,3.875,4,3.5
4,2.33333333333333,2.66666666666667,3.33333333333333,4.125,4,3
2,3,4,3.16666666666667,4,4.2,4.375
4,3.33333333333333,3.33333333333333,3.83333333333333,4,3.4,3.625
3.5,2.33333333333333,4,4.83333333333333,4,4,3.375
4,3,4,3.66666666666667,3.75,4,3.75
4,2,2.66666666666667,4,3.875,4,3.75
2,2.33333333333333,2.66666666666667,3.33333333333333,3.125,3.6,2.25
4,2,2.66666666666667,4,3.875,4.2,3.75
4.5,3.33333333333333,4,3.66666666666667,4.375,5,4.125
4,2,2.66666666666667,3.83333333333333,3.875,4.4,4
3,2.66666666666667,3.66666666666667,3.5,4.375,4.4,4.375
4,2.33333333333333,2.66666666666667,3.83333333333333,3.875,4,3.75
4,3,4,4,4,4,4
4,2.33333333333333,2.66666666666667,4.16666666666667,3.875,4,4
4,3,4.66666666666667,3,3.875,4,3.75
4,2.33333333333333,3.33333333333333,3,3.5,3.6,3.75
2,3,4,3.16666666666667,4,3.4,3.25
2,4,4,4,4,4,4
3,3,4,3.83333333333333,3,4,4
4,1.66666666666667,3.33333333333333,4.16666666666667,4.5,4.2,2.75
3.5,1.66666666666667,3.66666666666667,4,3.875,4,4.125
4,3,4,4,4,4,4
3,2.33333333333333,4,3.83333333333333,4,3.8,3.625
4,3.66666666666667,3.33333333333333,2.5,3.5,3.4,2.375
3,2,4,4.16666666666667,4,3.8,3.875
4,2,2.33333333333333,3.83333333333333,3.875,4.2,4.125
2.5,2.66666666666667,4,3.83333333333333,3.875,4,3.875
3,2.66666666666667,3.66666666666667,4,3.25,4.6,3.75
4,3.33333333333333,3.66666666666667,3.33333333333333,3.625,4,3.625
4,3,4,4,4,3.8,4
3,2.33333333333333,3.66666666666667,3,3.75,4,3.375
4,2,3.33333333333333,3.83333333333333,3.875,4,4
1,5,4,4.33333333333333,4,1.6,4.875
3,3.33333333333333,4.33333333333333,4,3.625,4,3.75
2,3.66666666666667,4,2.66666666666667,3.125,3.2,3.125
3,3,4.66666666666667,3.83333333333333,4,4,4
4,2.33333333333333,4.66666666666667,4.16666666666667,4,4,4
4,3.33333333333333,4,4.33333333333333,4,4,4
3,4,4,4,4,4,4
4,4,4,3.83333333333333,4,4,4
4,4,4,4,4.125,4,4
2,2,4,3,3.25,2.8,3.625
4,2.33333333333333,4,3.66666666666667,3.75,3.8,3.625
2.5,1.33333333333333,3.66666666666667,3.5,3.375,4,3.625
4,3.33333333333333,4,4,2,4,4
2,3,3,3,4,3.4,3.75
3,3.33333333333333,4,4,4,4,4
4,2.33333333333333,4,3.83333333333333,4,4,4
3.5,4,4,3.16666666666667,4,3.6,2.875
2.5,3,3.33333333333333,3,4.125,4,4
3,3,4,3.83333333333333,4,4,3.75
1.5,2,1.66666666666667,2,1.75,2.4,2.5
3,2,3.33333333333333,3.33333333333333,3.625,4.2,4.625
3,2,3.33333333333333,3.33333333333333,3.625,4.2,4.625
3,3,3,3,4,4,3.625
3.5,2.33333333333333,3,4,4,4,4
3.5,3.33333333333333,4,3.83333333333333,4,4,3.875
4,3.66666666666667,3.33333333333333,3.83333333333333,4,4,3.875
3,3.33333333333333,3,3,4,3.4,3.875
4,3,3.66666666666667,3.33333333333333,4,4,3.75
2,4,3.33333333333333,3.33333333333333,3.75,3.6,4
3,2.33333333333333,3.66666666666667,3.83333333333333,3.375,4,4
1,2.33333333333333,3.66666666666667,5,5,5,4.875
3.5,2.66666666666667,4,3.83333333333333,3.875,4.6,3.625
3,3.33333333333333,4,4.33333333333333,4.375,4.2,4.125
4,2.66666666666667,4.33333333333333,3.66666666666667,4,4,3.875
4,4.33333333333333,3.33333333333333,2.33333333333333,2.375,3.4,3.875
4,4,4,3.16666666666667,4,4,3.375
2,2.33333333333333,4.66666666666667,4.5,3,4,4
3.5,1.33333333333333,3.66666666666667,4.33333333333333,3.875,4,2.875
3,2.66666666666667,5,3.16666666666667,3,5,3.25
2,1.66666666666667,4,4.5,3.375,4.4,3.875
3.5,2,3.33333333333333,3.83333333333333,3.875,3.8,4.375
3,2.66666666666667,3.66666666666667,3,3.875,4,3.625
3,2.66666666666667,4,3.33333333333333,3.75,4,3.75
1.5,1.33333333333333,4,3.83333333333333,4.5,4.4,4.5
2,2.33333333333333,3.33333333333333,3.5,3.875,4,3.875
4,1,3,4.33333333333333,4.125,5,3.75
3,2.66666666666667,4,3.83333333333333,4,4,3.75
3,2.33333333333333,3.66666666666667,3.66666666666667,4,4,3.375
4,4,4,3.83333333333333,3.375,3.8,3.875
2.5,3.33333333333333,3.33333333333333,3.83333333333333,4,4,4
4,2.66666666666667,3.33333333333333,3.83333333333333,3.875,4,4.125
2,3,4,3.66666666666667,4,4,3.625
4,2.66666666666667,4,3.83333333333333,4,3.8,4
4,3,4,3.5,4,4,3.875
4.5,3.33333333333333,4.66666666666667,3.16666666666667,3.5,3.6,3.375
2.5,2.66666666666667,4,3.33333333333333,4,3.6,3.875
3,2,4,3.33333333333333,4,4,3.875
4,2.66666666666667,4,3.66666666666667,3.75,4,3.75
4,4,4,4,4,4,4
3,2.66666666666667,3.66666666666667,4.16666666666667,3.25,4.6,4
3,2.66666666666667,2.66666666666667,3.66666666666667,3.75,4,3.75
3,4.33333333333333,3.66666666666667,3.83333333333333,4,4.2,3.875
4,3.33333333333333,4,3.33333333333333,4,3.8,3.75
3,2.66666666666667,2.66666666666667,3.66666666666667,3.875,4,3.75
2.5,3.33333333333333,3.33333333333333,3.83333333333333,3.375,3.8,4.125
4,3,4,3.66666666666667,3.75,4,3.75
4,4,4,4,4,4,4
1.5,1.33333333333333,3,4.83333333333333,3.5,4.8,4.375
4.5,2,3.66666666666667,4,4,4,3.75
4,4,4,4,4,4,4
4,2.66666666666667,4,3.66666666666667,4,4,4
4,4,4,4,4,4,4
4,4,4,4,4,4,4
4,4,4,4,4,4,4
4,4,4,4,4,4,4
3.5,2,4,4,4,4,4
1,2.33333333333333,4,4.66666666666667,3.75,4.8,4.875
2,1,4,4,4,4,3.75
3,3,3.66666666666667,3.66666666666667,3.875,4,4
3,3,3.33333333333333,2.66666666666667,3,4,3.5
4,2.66666666666667,3.66666666666667,3.83333333333333,3.75,3.8,4
2.5,2,4,3.66666666666667,5,5,4.625
4,3,4,3.66666666666667,3.625,4,3.5
2.5,3,3.66666666666667,3,3.75,4,3.75
2.5,2.66666666666667,4.66666666666667,2.83333333333333,3.625,3.4,3.75
3,2,4.33333333333333,4.16666666666667,4.875,4.2,4.125
3,3.66666666666667,4,3.16666666666667,4,4,4
3,2.66666666666667,3.33333333333333,3.16666666666667,3.375,4,3.5
4,3,3.66666666666667,2.83333333333333,4.125,4,3
4,2.33333333333333,4,4.16666666666667,4,4,4
2,2.33333333333333,5,3.16666666666667,1,4.4,3.375
3.5,3,3,3.33333333333333,3.625,3.8,4
2,2.66666666666667,2.66666666666667,3,3.5,3.4,2.625
3,2.33333333333333,3.66666666666667,3.66666666666667,4,4,3.375
4,2.66666666666667,4,3.66666666666667,3.75,4.2,4
3,3,4,3.83333333333333,4,4,3.75
3,2.66666666666667,4,3.66666666666667,3.875,4.4,4
3.5,2.66666666666667,4,3.66666666666667,3.875,4,3.75
3,2.66666666666667,4,3.66666666666667,4,3.8,3.75
3,3.33333333333333,4,3.83333333333333,4,4,4
2.5,3,3.33333333333333,3.83333333333333,4.125,4,4
4,3.33333333333333,3.66666666666667,2.83333333333333,3.5,3.6,3.75
3.5,2,3,3.83333333333333,4,4,3.75
3,3,4.33333333333333,3.5,4,4,4.125
2.5,2,3.66666666666667,3.5,4.25,4,3.875
3,3,4,3.83333333333333,4,4,3.875
2,3.33333333333333,3.66666666666667,2.5,4,4,3.75
4,3,4,2.33333333333333,3,3.8,3.25
3,2,3.66666666666667,3.66666666666667,3.625,3.6,4.625
2,2.66666666666667,3.66666666666667,2.83333333333333,3.875,4,3.5
4,3.33333333333333,4,3.5,4,4.2,3.625
4,3.33333333333333,3.66666666666667,3.33333333333333,4,3.8,3.75
3,3.33333333333333,4.66666666666667,4.33333333333333,5,3.6,4.5
4,3,3.33333333333333,3.83333333333333,3.625,3.8,3.5
2,3,3.66666666666667,3,3.125,4,3.5
2.5,2,3.66666666666667,3.33333333333333,3.125,3.8,3.625
1.5,3.33333333333333,3.66666666666667,3,3.25,2.8,3.75
2,3,4,3.83333333333333,3.75,3.6,3.5
4.5,3,4,3.33333333333333,3.75,3.8,3.75
2.5,3,3.66666666666667,3.5,3,4,3.25
4,3.33333333333333,4,3.5,3.75,4,4
2.5,3,4.66666666666667,3.66666666666667,4,3.4,3.625
2,3,3,3,2.75,2.6,2.75
4,3.33333333333333,4,3.5,4,3.8,4
3,3,4,4,4,4,4.125
3.5,3.33333333333333,3,3.33333333333333,3.875,3,3.375
2.5,2.33333333333333,3,3.83333333333333,3.75,4.4,3.875
3,3,4,3.83333333333333,4,4,4
3,1.66666666666667,3.66666666666667,3.66666666666667,4,4,4.125
3,2.66666666666667,3.66666666666667,3.33333333333333,4,4,4.125
4,3,3.33333333333333,4,3.875,4,3.625
3.5,2.33333333333333,3.33333333333333,3.83333333333333,4,4,3.5
4,2.66666666666667,2.66666666666667,3.5,3.875,3.8,3.875
4,2.33333333333333,4.66666666666667,3,3.25,4.4,4
4,3,3.66666666666667,3.83333333333333,3,3.2,3.625
5,3.66666666666667,4.66666666666667,3.83333333333333,4.75,4.8,4.125
2,3,4,3.83333333333333,3.625,3.6,3.5
4,3,3.33333333333333,4,4.125,4,3.625
3.5,3.33333333333333,3.33333333333333,3.83333333333333,3.875,4,3.5
4,2.33333333333333,4,3.83333333333333,4.375,4.2,3.75
2.5,3,3.33333333333333,4,4.125,3.6,3.875
3,2.33333333333333,3.33333333333333,3.83333333333333,4,4,3.5
3,3,3.66666666666667,3.83333333333333,3.125,3.8,3.75
4,3.66666666666667,3.66666666666667,3.83333333333333,3.75,3.6,3.875
4,2,3.66666666666667,3.5,4,4,4.375
4,3.33333333333333,4,3.83333333333333,3.625,3.6,3.875
3,2.66666666666667,4,3.66666666666667,4,4,3.875
3.5,2.66666666666667,4.33333333333333,3.66666666666667,4.25,4.4,4.125
1,2.66666666666667,3.33333333333333,3.83333333333333,4,3.8,3.75
2,2,4.33333333333333,3.33333333333333,5,5,3.5
3,3,3.66666666666667,3,4,4,3.75
3,3.66666666666667,4,4,4,4,2.625
4,1.66666666666667,5,4,4.875,5,4.875
4,2,4.33333333333333,4,4,4,3.875
3,3.33333333333333,3,3,4,4,3.75
3,2.33333333333333,3.66666666666667,3.5,4,3.8,3.75
3.5,2.33333333333333,4,3.83333333333333,3.75,3.6,4
2,2.66666666666667,3.66666666666667,3.83333333333333,3.5,4,3.625
4,1.66666666666667,4,4.5,4,4.2,4.875
3,2.66666666666667,3.66666666666667,3.5,3.5,4,3.875
3,3,4,4,3.5,4,3.875
3.5,2,3.33333333333333,3.33333333333333,3.625,3.8,4.125
4,3.33333333333333,4,3.33333333333333,4,4,3.5
3.5,3.33333333333333,3.66666666666667,3.66666666666667,3.125,3.8,3.625
3,1.66666666666667,4.33333333333333,4,3.75,4,4.375
4,2.33333333333333,3.33333333333333,3.16666666666667,3.875,3.8,4
2,2.33333333333333,3.66666666666667,3.33333333333333,4,4,3.875
1,3.33333333333333,4,4.66666666666667,3.625,4.8,4.875
4,2.66666666666667,4,3.5,3.25,4,4.125
4,2.33333333333333,4,4,4,4,4.125
4,2,3,4,3.625,4,3.875
3,2.33333333333333,4.33333333333333,2.16666666666667,4.125,4,3.375
4,2.33333333333333,5,3.83333333333333,4.25,4,4
2.5,3,3.66666666666667,4.16666666666667,4,4.2,4.625
3,2.66666666666667,4.33333333333333,3.66666666666667,4.125,4.2,4.5
4,3,4,3.66666666666667,3.875,3.8,4.125
4,3,4,3.83333333333333,4,4,4.25
3,3.66666666666667,3.33333333333333,3.83333333333333,3.875,4,4.375
4,3,3.66666666666667,3.33333333333333,3,4,4
4,3.66666666666667,3,4,4,3.8,4
3,3,4,4.16666666666667,3.125,3.8,3.625
4,2,4,3.83333333333333,4,4,4.25
3,2.66666666666667,4,3.66666666666667,4,3.8,3.75
2.5,1.66666666666667,3,3.33333333333333,3.75,3.8,3.75
3,3.66666666666667,3.66666666666667,3.83333333333333,3.75,4,3.625
4,3.66666666666667,4,4,3.75,3.6,4
2,2,4,3.83333333333333,4.125,4.8,4.25
3.5,2.33333333333333,3,3.5,3.25,3.6,3.75
1,2.66666666666667,3.66666666666667,3,4.625,4,3.375
3.5,3,4.66666666666667,3.5,4,3.4,2.75
2.5,2.66666666666667,3.66666666666667,3.33333333333333,3.75,4,3.25
3.5,3.66666666666667,3.66666666666667,3.83333333333333,3.875,3.6,3.75
4,3.66666666666667,3.66666666666667,3.83333333333333,4,4,3.75
1,1,3.66666666666667,4,4,3.8,3.75
4,4,4,4,4,4,4
4,3.66666666666667,3.66666666666667,3.83333333333333,4,4,3.75
4,3.66666666666667,3.66666666666667,3.83333333333333,4,4,3.75
2,3.33333333333333,3.33333333333333,2.66666666666667,3,3.2,2.75
3,4,4,4,4.875,4,4
4,3.33333333333333,4,3.83333333333333,4,3.6,3.875
3.5,2.33333333333333,4.33333333333333,3.33333333333333,3.875,5,3.5
3,2,2.33333333333333,3.66666666666667,3.375,4,4.25
2,1.66666666666667,4,3.83333333333333,4,4,3.625
4,3,4.33333333333333,4,3.875,4,4
2,3.33333333333333,4,3.16666666666667,3.75,4,3.625
3,3,4,4,4,3.8,3.75
1,3.33333333333333,4,4,4,2.6,4
4,1.66666666666667,3.33333333333333,4.16666666666667,3.5,3.8,3.875
3.5,2.66666666666667,4.33333333333333,3.16666666666667,3.5,4,3.5
4,2.33333333333333,4,3.83333333333333,3.625,4,4
2,2.66666666666667,1.33333333333333,2,3.875,2.2,3.375
2,2.66666666666667,1.33333333333333,2,3.875,2.2,3.375
4,3.66666666666667,4.33333333333333,3.5,2,2.6,2.75
3,3,3.33333333333333,4,4.125,4,3.875
3,2.33333333333333,3,3.5,4,4,3.75
3,2.66666666666667,4,3.16666666666667,4,3.4,3.75
4,2,2.66666666666667,3.83333333333333,3.875,4,3.875
5,3,3,3,5,5,5
3,2.33333333333333,2,3,3,4,3.875
3.5,2.66666666666667,3.66666666666667,3.33333333333333,4,3.6,4.125
3,2.33333333333333,3,3.5,4,3.6,4
3.5,3.33333333333333,4.33333333333333,3.66666666666667,3.5,4,3.75
4,2.33333333333333,3.66666666666667,3,3.375,3.8,3.875
3.5,3.33333333333333,4.33333333333333,3.66666666666667,3.5,4,3.75
5,2.33333333333333,4.33333333333333,3,4.875,4,3.5
4,1.66666666666667,4,4.5,3.375,4.2,4
2,3.33333333333333,3,3.66666666666667,3.875,3.4,3.75
3.5,2.66666666666667,3.33333333333333,3.33333333333333,4,4,4.125
3,2,3.66666666666667,4,3.75,4.8,4
4,2,4.33333333333333,3.83333333333333,3.125,4,4
3,3,2.33333333333333,4.16666666666667,4.875,5,4.625
4,1.66666666666667,2.66666666666667,3.33333333333333,4,4,3.75
3,2.33333333333333,3.66666666666667,3.5,3.875,3.6,3.75
3.5,3,4,4,3.75,4,3.625
3.5,2.33333333333333,4,4,3.875,4,3.875
3,2.33333333333333,3.33333333333333,4,4.125,3.8,3.875
3,2.66666666666667,3.66666666666667,3.83333333333333,3.375,4.6,4
4,3,3,4,4,4.6,4
1.5,2.66666666666667,3,3,3,3,1.25
2,4,3,3.33333333333333,3.75,4,3.25
2.5,3.66666666666667,4,3,3,3,3.375
3,3,4.33333333333333,4.33333333333333,4.375,4.4,4
3,3,2.33333333333333,4.16666666666667,4.875,5,4.625
3,3,3.66666666666667,3.16666666666667,4,4,4.125
2.5,2.66666666666667,3.66666666666667,3,2.875,3,2.875
2,3,3,3.66666666666667,4.125,4.2,4.25
4.5,2.33333333333333,4,3.5,4.125,4.4,4.75
3,2,3.33333333333333,3.33333333333333,3.625,4.2,4.625
2,3.66666666666667,4.66666666666667,4,4.125,4,3.875
5,5,5,5,5,5,5
4,1.66666666666667,3.33333333333333,4,3.125,4.4,4.25
3.5,3,4.66666666666667,3.16666666666667,3.75,4,3.625
3,3.66666666666667,3.66666666666667,3.5,4,3.2,3.75
2.5,1.33333333333333,2.66666666666667,4.66666666666667,4.5,5,4.375
2.5,5,4,4,5,5,4.5
4,2.33333333333333,4.33333333333333,3.5,4.5,4.4,4.875
3,3.33333333333333,4,3.83333333333333,3.125,4,4
5,2.66666666666667,4.66666666666667,3.83333333333333,5,5,3.875
3,2.66666666666667,3.66666666666667,4.16666666666667,3.25,5,4
2.5,3,4,3.16666666666667,4,4,4.25
4,2.33333333333333,3.66666666666667,3,3.375,3.8,3.875
4,2.33333333333333,5,3.83333333333333,4.25,4,4
2.5,1.66666666666667,3.33333333333333,4,3.25,4,4.125
3.5,3.33333333333333,4.33333333333333,3.83333333333333,3.625,3.4,3.875
4,2.33333333333333,4,4.33333333333333,4.625,4.4,4.75
2,3,3.66666666666667,3.5,4,4.2,3.625
4,3.66666666666667,3.33333333333333,3.83333333333333,3.875,4,4
4,3,3.33333333333333,3,3,3,3.5
3,3,4,3.33333333333333,3.75,4,3.875
3.5,2,4.33333333333333,4,3.625,3.8,3.875
3.5,2,4.66666666666667,4,3.625,3.8,3.875
3,3,4,3.66666666666667,4,4,4
3,2.66666666666667,4,3.66666666666667,4,4,3.75
3,3,4.33333333333333,4,5,3.6,3.75
2.5,3.33333333333333,3.33333333333333,4,4,4,4.125
