Gender,Tlahir,BLhair,Pengeluaran,Status,Fak,IPK,Semester
1,2000,8,1,2,Mathematics and Natural Science,3,1
1,20000,3,2,2,Engineering,4,1
1,1999,4,1,2,Social Science,4,1
1,2000,1,1,2,Mathematics and Natural Science,3,1
1,2000,5,1,2,Social Science,4,1
1,2000,3,1,2,Social Science,4,1
1,1999,7,1,2,Social Science,4,1
1,1999,8,1,2,Educational Science,4,1
1,1999,11,1,2,Mathematics and Natural Science,3,1
1,2000,6,1,2,Mathematics and Natural Science,3,1
1,2000,10,2,2,Educational Science,4,1
1,1998,8,1,2,Economic,4,2
1,2000,7,2,2,Mathematics and Natural Science,3,2
1,1999,7,2,2,Mathematics and Natural Science,3,2
2,1999,9,1,2,Mathematics and Natural Science,3,2
1,1999,5,1,2,Engineering,3,2
2,1998,1,1,2,Social Science,4,2
2,1998,8,1,2,Engineering,3,2
1,71999,4,1,2,Art,4,2
2,1999,4,1,2,Economic,3,2
2,1998,8,1,2,Engineering,3,2
2,1998,8,1,2,Engineering,3,2
2,1998,3,1,2,Educational Science,3,2
1,200399,3,1,2,Economic,4,2
1,1999,3,1,2,Economic,4,2
1,1999,7,3,2,Engineering,3,2
1,1999,9,1,2,Mathematics and Natural Science,4,2
1,1998,11,1,2,Economic,4,2
1,2000,3,1,2,Economic,4,2
1,2000,4,2,2,Social Science,4,2
1,2000,3,1,2,Economic,4,2
1,1998,0,1,2,Social Science,3,2
2,1998,0,1,2,Educational Science,3,2
2,1997,3,1,2,Engineering,3,2
2,1998,6,1,2,Sports Science,4,2
2,1998,7,2,2,Sports Science,4,2
2,1998,7,2,2,Sports Science,4,2
1,2000,9,2,2,Economic,4,2
1,1999,5,1,2,Educational Science,3,2
1,1999,11,2,2,Mathematics and Natural Science,4,2
1,1999,5,2,2,Mathematics and Natural Science,3,2
1,1999,9,1,2,Art,4,2
2,1999,4,1,2,Social Science,3,2
1,1997,6,1,2,Engineering,3,2
1,261998,9,1,2,Art,4,2
1,1999,11,2,2,Art,4,2
1,1998,5,1,2,Economic,4,2
1,231997,5,2,2,Art,3,2
1,1998,5,1,2,Economic,4,2
1,1999,0,1,2,Mathematics and Natural Science,4,2
2,2000,6,1,2,Art,4,2
1,2001,2,1,2,Art,3,2
1,1999,5,2,2,Art,4,2
1,2000,1,1,2,Educational Science,4,2
1,1999,4,1,2,Art,4,2
1,1999,1,1,2,Art,4,2
1,1999,11,1,2,Art,4,2
1,2000,8,1,2,Economic,4,2
1,1999,1,2,2,Art,3,2
2,1999,1,2,2,Art,3,2
1,1998,0,2,2,Educational Science,3,2
1,1999,1,1,2,Art,3,2
1,1998,8,1,2,Sports Science,4,2
2,1999,1,1,2,Sports Science,3,2
1,1998,8,2,2,Engineering,3,2
2,1999,9,2,2,Engineering,3,2
2,1999,6,2,2,Engineering,3,2
1,1999,1,1,2,Art,4,2
1,1999,0,1,2,Engineering,3,2
2,1998,9,1,2,Educational Science,4,2
1,2001,2,1,2,Art,3,2
2,2000,1,1,2,Educational Science,4,2
1,2000,10,1,2,Mathematics and Natural Science,3,2
1,2000,4,1,2,Mathematics and Natural Science,4,2
1,1999,9,5,2,Social Science,4,2
2,2000,7,2,2,Mathematics and Natural Science,2,2
1,2000,8,2,2,Mathematics and Natural Science,2,2
2,1999,0,2,2,Engineering,3,2
1,1999,8,2,2,Mathematics and Natural Science,3,2
2,1998,0,1,2,Sports Science,4,2
2,1999,4,2,2,Educational Science,3,2
1,1998,3,1,2,Educational Science,4,2
1,1998,6,1,2,Mathematics and Natural Science,3,2
1,1999,1,1,2,Art,3,2
1,2000,10,2,2,Art,4,2
1,1997,5,2,2,Art,3,2
2,1999,2,1,2,Engineering,4,2
2,1999,0,1,2,Engineering,3,2
1,1999,2,2,2,Social Science,4,2
1,1999,0,2,2,Social Science,4,2
1,31031999,3,1,2,Engineering,3,2
2,1999,6,2,2,Engineering,3,2
2,2000,6,1,2,Educational Science,3,2
1,1999,3,1,2,Economic,4,2
2,1999,11,1,2,Economic,4,2
2,1998,10,1,2,Economic,4,2
1,1999,7,1,2,Economic,4,2
1,1998,11,1,2,Economic,4,2
1,1999,10,2,2,Economic,4,2
1,1999,6,1,2,Economic,4,2
2,2000,3,2,2,Sports Science,4,2
2,1998,3,2,2,Economic,4,2
1,1998,0,1,2,Economic,4,2
1,2000,5,2,2,Mathematics and Natural Science,3,2
1,1999,10,2,2,Mathematics and Natural Science,2,2
1,1999,0,1,2,Mathematics and Natural Science,3,2
2,2000,5,1,2,Mathematics and Natural Science,3,2
2,1998,5,1,2,Engineering,3,2
1,1999,6,1,2,Mathematics and Natural Science,4,2
1,1999,5,1,2,Economic,3,2
1,1999,10,1,2,Economic,4,2
1,1998,9,1,2,Educational Science,4,2
2,2000,3,1,2,Engineering,4,2
1,1999,8,1,2,Social Science,3,2
2,1998,4,1,2,Engineering,3,2
1,1999,11,1,2,Engineering,3,2
1,1999,3,1,2,Social Science,3,2
1,1999,1,1,2,Social Science,3,2
2,1999,8,1,2,Sports Science,3,2
1,1999,5,1,2,Economic,4,2
2,1998,3,1,2,Engineering,4,2
1,1999,6,1,2,Art,4,2
1,1998,8,1,2,Engineering,4,2
1,1999,4,2,2,Educational Science,3,2
1,1999,7,1,2,Social Science,4,2
1,2000,3,1,2,Engineering,3,2
1,1997,5,2,2,Art,3,2
1,1999,8,1,2,Mathematics and Natural Science,3,2
1,1998,10,1,2,Mathematics and Natural Science,4,2
1,2000,5,2,2,Mathematics and Natural Science,3,2
1,1998,4,1,2,Economic,4,3
2,1997,7,2,2,Mathematics and Natural Science,4,3
1,1997,0,1,2,Educational Science,4,3
1,1997,1,1,2,Engineering,3,3
2,1996,0,1,2,Economic,4,3
1,1998,5,2,2,Engineering,4,3
1,241998,5,1,2,Engineering,3,3
2,1998,4,2,2,Engineering,4,3
2,1999,1,3,2,Engineering,4,3
1,1998,6,1,2,Educational Science,4,3
2,1996,6,1,2,Educational Science,4,3
2,1998,6,1,2,Engineering,4,3
1,2000,5,1,2,Economic,4,3
1,221998,3,1,2,Engineering,4,3
1,1998,2,1,2,Economic,4,3
2,1998,0,1,2,Mathematics and Natural Science,4,3
1,1997,9,1,2,Art,4,3
1,1998,7,1,2,Mathematics and Natural Science,3,3
1,1997,6,1,2,Engineering,3,3
1,1997,9,2,2,Sports Science,4,3
2,1998,5,1,2,Sports Science,3,3
2,1998,6,2,2,Engineering,3,3
2,1999,8,2,2,Mathematics and Natural Science,3,3
2,2000,3,3,2,Social Science,3,3
2,1998,1,1,2,Engineering,3,3
1,1997,11,1,2,Economic,4,3
1,1998,5,2,2,Economic,4,3
1,1998,4,1,2,Economic,4,3
1,1998,7,1,2,Social Science,3,3
2,1998,1,2,2,Social Science,3,3
1,1997,7,2,2,Engineering,3,3
1,1998,3,2,2,Engineering,4,3
1,1997,0,1,2,Social Science,3,3
1,1998,8,1,2,Social Science,3,3
1,1998,4,1,2,Social Science,4,3
1,1998,1,1,2,Social Science,4,3
1,1998,0,1,2,Social Science,4,3
1,1998,8,1,2,Engineering,3,3
1,2000,1,4,1,Art,3,3
1,1997,9,1,2,Engineering,4,3
1,2000,7,1,2,Mathematics and Natural Science,3,4
1,1998,10,1,2,Sports Science,4,4
2,1999,4,1,2,Engineering,4,4
2,1997,7,2,2,Engineering,3,4
1,1998,2,2,2,Art,4,4
1,1995,5,1,2,Engineering,2,6
